year,total
1978,"45,000"
 1979,"47,000"
1980,"45,500"
1981,"49,000"
1982,"50,000"
1983,"50,400"
1984,"53,800"
1985,"54,000"
1986,"54,700"
1987,"55,300"
1988,"56,200"
1989,"56,900"
1990,"55,700"
1991,"54,500"
1992,"53,600"
1993,"53,700"
1994,"53,800"
1995,"55,000"
1996,"54,000"
1997,"54,700"
1998,"55,100"
1999,"56,200"
2000,"56,400"
 2001,"54,400"
2002,"54,700"
2003,"54,200"
2004,"54,100"
2005,"53,600"
2006,"55,000"
2007,"52,600"
2008,"46,700"
2009,"41,500"
2010,"41,600"
2011,"40,600"
2012,"38,000"
2013,"36,700"
2014,"32,900"
