year,days_published,newspaper_name,city,state,total_circulation,county,rucc,rucc_description,metro,latitude,longitude,state_full
2004,1,Lynnwood Enterprise,Lynwood,Wash.,26500,Snohomish,major,County in metro area with 1 million population or more,1,-32.0361,115.9270,Washington
2004,6,West Hawaii Today,Kailua-Kona,Hawaii,12395,Hawaii,rural,"Nonmetro county with urban population of 20,000 or more, not adjacent to a metro area",0,19.6429,-155.9920,Hawaii
2004,6,Hawaii Tribune-Herald,Hilo,Hawaii,18806,Hawaii,rural,"Nonmetro county with urban population of 20,000 or more, not adjacent to a metro area",0,19.6923,-155.0840,Hawaii
2004,1,North Hawaii News,Kamuela,Hawaii,4295,Hawaii,rural,"Nonmetro county with urban population of 20,000 or more, not adjacent to a metro area",0,20.0220,-155.6740,Hawaii
2004,1,Lahaina News,Lahaina,Hawaii,12500,Maui,rural,"Nonmetro county with urban population of 20,000 or more, not adjacent to a metro area",1,20.8783,-156.6820,Hawaii
2004,7,"Maui News, The",Wailuku,Hawaii,21478,Maui,rural,"Nonmetro county with urban population of 20,000 or more, not adjacent to a metro area",0,20.8856,-156.5050,Hawaii
2004,1,Dispatch,Maunaloa,Hawaii,4805,Maui,rural,"Nonmetro county with urban population of 20,000 or more, not adjacent to a metro area",0,21.0897,-157.0170,Hawaii
2004,1,Downtown Planet,Honolulu,Hawaii,30250,Honolulu,minor,"County in metro area of 250,000 to 1 million population",1,21.3069,-157.8580,Hawaii
2004,1,Hololulu Weekly,Honolulu,Hawaii,42874,Honolulu,minor,"County in metro area of 250,000 to 1 million population",1,21.3069,-157.8580,Hawaii
2004,7,Honolulu Star-Bulletin,Honolulu,Hawaii,64305,Honolulu,minor,"County in metro area of 250,000 to 1 million population",1,21.3069,-157.8580,Hawaii
2004,2,Island Weekly,Honolulu,Hawaii,175000,Honolulu,minor,"County in metro area of 250,000 to 1 million population",1,21.3069,-157.8580,Hawaii
2004,7,Honolulu Advertiser/ Sunday Advertiser,Honolulu,Hawaii,141341,Honolulu,minor,"County in metro area of 250,000 to 1 million population",1,21.3113,-157.8590,Hawaii
2004,1,Midweek,Hawaii Kai,Hawaii,9935,Honolulu,minor,"County in metro area of 250,000 to 1 million population",1,21.4021,-157.7960,Hawaii
2004,1,Kauai Times,Kauai,Hawaii,10300,Kauai,rural,"Nonmetro county with urban population of 20,000 or more, not adjacent to a metro area",0,21.9661,-159.5740,Hawaii
2004,7,"Garden Island, The",Lihue,Hawaii,8677,Kauai,rural,"Nonmetro county with urban population of 20,000 or more, not adjacent to a metro area",0,21.9792,-159.3710,Hawaii
2004,1,Key West - The Newspaper,Key West,Fla.,12000,Monroe,rural,"Nonmetro county with urban population of 20,000 or more, adjacent to a metro area",0,24.5551,-81.7800,Florida
2004,1,Solares Hill,Key West,Fla.,10000,Monroe,rural,"Nonmetro county with urban population of 20,000 or more, adjacent to a metro area",0,24.5551,-81.7800,Florida
2004,7,Key West Citizen,Key West,Fla.,8427,Monroe,rural,"Nonmetro county with urban population of 20,000 or more, adjacent to a metro area",0,24.5640,-81.7768,Florida
2004,2,Florida Keys Keynoter,Marathon,Fla.,11273,Monroe,rural,"Nonmetro county with urban population of 20,000 or more, adjacent to a metro area",0,24.7260,-81.0446,Florida
2004,1,Marathon/Big Pine Free Press,Marathon,Fla.,10000,Monroe,rural,"Nonmetro county with urban population of 20,000 or more, adjacent to a metro area",0,24.7260,-81.0446,Florida
2004,1,Free Press,Islamorada,Fla.,12210,Monroe,rural,"Nonmetro county with urban population of 20,000 or more, adjacent to a metro area",0,24.9243,-80.6278,Florida
2004,1,Reporter,Tavernier,Fla.,9800,Monroe,rural,"Nonmetro county with urban population of 20,000 or more, adjacent to a metro area",0,25.0115,-80.5151,Florida
2004,2,South Dade News Leader,Homestead,Fla.,28000,Miami-Dade,major,County in metro area with 1 million population or more,1,25.4716,-80.4739,Florida
2004,1,Kendall Gazette,Miami,Fla.,10000,Miami-Dade,major,County in metro area with 1 million population or more,1,25.6642,-80.3589,Florida
2004,1,Islander News,Key Biscayne,Fla.,3800,Miami-Dade,major,County in metro area with 1 million population or more,1,25.6909,-80.1651,Florida
