year,days_published,newspaper_name,city,state,total_circulation,county,rucc,rucc_description,metro,latitude,longitude,state_full
2016,2,View Neighborhood Newspapers,Las Vegas,Nev.,600557,Clark,major,Metro - Counties in metro areas of 1 million population or more,1,36.1699,-115.14,Nevada
2016,7,Daily News,New York,N.Y.,599620,Kings,major,Metro - Counties in metro areas of 1 million population or more,1,40.6639,-73.9383,New York
2016,7,Los Angeles Times,Los Angeles,Calif.,571403,Los Angeles,major,Metro - Counties in metro areas of 1 million population or more,1,34.1048,-118.411,California
2016,7,Washington Post,Washington,D.C.,480166,District of Columbia,major,Metro - Counties in metro areas of 1 million population or more,1,38.9048,-77.0163,District of Columbia
2016,7,Newsday,Melville,N.Y.,460149,Suffolk,major,Metro - Counties in metro areas of 1 million population or more,1,40.7823,-73.4088,New York
2016,7,Chicago Tribune,Chicago,Ill.,390517,Cook,major,Metro - Counties in metro areas of 1 million population or more,1,41.8726,-87.652,Illinois
2016,1,Midweek Wire,Trevose,Pa.,373116,Bucks,major,Metro - Counties in metro areas of 1 million population or more,1,40.1393,-74.981,Pennsylvania
2016,7,amNewYork,New York,N.Y.,335900,Kings,major,Metro - Counties in metro areas of 1 million population or more,1,40.6639,-73.9383,New York
2016,7,Cleveland Plain Dealer The,Cleveland,Ohio,311605,Cuyahoga,major,Metro - Counties in metro areas of 1 million population or more,1,41.4793,-81.6802,Ohio
2016,7,Star Tribune,Minneapolis,Minn.,300330,Hennepin,major,Metro - Counties in metro areas of 1 million population or more,1,44.9635,-93.2678,Minnesota
2016,7,Arizona Republic,Phoenix,Ariz.,296934,Maricopa,major,Metro - Counties in metro areas of 1 million population or more,1,33.5722,-112.088,Arizona
2016,7,Denver Post,Denver,Colo.,285027,Denver,major,Metro - Counties in metro areas of 1 million population or more,1,39.7614,-104.877,Colorado
2016,2,Metro Community News,Cheektowaga,N.Y.,279152,Erie,major,Metro - Counties in metro areas of 1 million population or more,1,42.9082,-78.7496,New York
2016,7,Las Vegas Review-Journal,Las Vegas,Nev.,266563,Clark,major,Metro - Counties in metro areas of 1 million population or more,1,36.2277,-115.264,Nevada
2016,1,Village Voice,New York,N.Y.,260000,Kings,major,Metro - Counties in metro areas of 1 million population or more,1,40.7128,-74.0059,New York
2016,7,Philadelphia Inquirer,Philadelphia,Pa.,258560,Philadelphia,major,Metro - Counties in metro areas of 1 million population or more,1,40.0076,-75.134,Pennsylvania
2016,1,Midweek,Kaneohe,Hawaii,250000,Honolulu,minor,"Metro - Counties in metro areas of 250,000 to 1 million population",1,21.4021,-157.796,Hawaii
2016,7,Boston Globe The/ Boston Sunday Globe,Boston,Mass.,243986,Suffolk,major,Metro - Counties in metro areas of 1 million population or more,1,42.3322,-71.0164,Massachusetts
2016,7,Houston Chronicle,Houston,Texas,239798,Harris,major,Metro - Counties in metro areas of 1 million population or more,1,29.7805,-95.3863,Texas
2016,7,Dallas Morning News,Dallas,Texas,238960,Dallas,major,Metro - Counties in metro areas of 1 million population or more,1,32.7946,-96.7663,Texas
2016,7,Tampa Bay Times,St Petersburg,Fla.,237624,Pinellas,major,Metro - Counties in metro areas of 1 million population or more,1,27.7617,-82.6429,Florida
2016,7,St Paul Pioneer Press,St Paul,Minn.,235968,Ramsey,major,Metro - Counties in metro areas of 1 million population or more,1,44.9477,-93.104,Minnesota
2016,7,San Francisco Chronicle,San Francisco,Calif.,229176,San Francisco,major,Metro - Counties in metro areas of 1 million population or more,1,37.7597,-122.694,California
2016,7,Star-Ledger of Newark,Newark,N.J.,222794,Essex,major,Metro - Counties in metro areas of 1 million population or more,1,40.7242,-74.1724,New Jersey
2016,7,Chicago Sun-Times/Sunday Sun-Times,Chicago,Ill.,209766,Cook,major,Metro - Counties in metro areas of 1 million population or more,1,41.8726,-87.652,Illinois
2016,1,La Voz de Houston,Houston,Texas,198856,Harris,major,Metro - Counties in metro areas of 1 million population or more,1,29.7805,-95.3863,Texas
2016,7,Sacramento Bee,Sacramento,Calif.,196667,Sacramento,major,Metro - Counties in metro areas of 1 million population or more,1,38.5666,-121.468,California
2016,2,Suncoast News,Pinellas,Fla.,196303,Pinellas,major,Metro - Counties in metro areas of 1 million population or more,1,27.8589,-82.7082,Florida
2016,7,Tribune-Review,Greensburg,Pa.,185996,Westmoreland,major,Metro - Counties in metro areas of 1 million population or more,1,40.3113,-79.5444,Pennsylvania
2016,2,Reminder,Hartford,Conn.,181319,Hartford,major,Metro - Counties in metro areas of 1 million population or more,1,41.7661,-72.6834,Connecticut
2016,5,Express,Washington,D.C.,174074,District of Columbia,major,Metro - Counties in metro areas of 1 million population or more,1,38.9072,-77.0369,District of Columbia
2016,7,Orlando Sentinel,Orlando,Fla.,173542,Orange,major,Metro - Counties in metro areas of 1 million population or more,1,28.4159,-81.2988,Florida
2016,7,Seattle Times,Seattle,Wash.,172434,King,major,Metro - Counties in metro areas of 1 million population or more,1,47.6202,-122.351,Washington
2016,7,Miami Herald,Miami,Fla.,166272,Miami-Dade,major,Metro - Counties in metro areas of 1 million population or more,1,25.7753,-80.2089,Florida
2016,7,San Diego Union-Tribune,San Diego,Calif.,165204,San Diego,major,Metro - Counties in metro areas of 1 million population or more,1,32.8169,-117.133,California
2016,7,Orange County Register,Santa Ana,Calif.,160872,Orange,major,Metro - Counties in metro areas of 1 million population or more,1,33.7367,-117.882,California
2016,1,AdNet Community News,Canandaigua,N.Y.,160000,Madison,minor,"Metro - Counties in metro areas of 250,000 to 1 million population",1,42.889,-75.441,New York
2016,1,LA Weekly,Culver City,Calif.,156816,Los Angeles,major,Metro - Counties in metro areas of 1 million population or more,1,34.0058,-118.397,California
2016,7,Record/ Sunday Record,Hackensack,N.J.,155236,Bergen,major,Metro - Counties in metro areas of 1 million population or more,1,40.889,-74.0461,New Jersey
2016,1,Best,Melbourne,Fla.,155000,Brevard,minor,"Metro - Counties in metro areas of 250,000 to 1 million population",1,28.0836,-80.6081,Florida
2016,1,Ballston Journal,Ballston Spa,N.Y.,151000,Saratoga,minor,"Metro - Counties in metro areas of 250,000 to 1 million population",1,43.0009,-73.849,New York
2016,7,Pittsburgh Post-Gazette,Pittsburgh,Pa.,149586,Allegheny,major,Metro - Counties in metro areas of 1 million population or more,1,40.4395,-79.9763,Pennsylvania
2016,2,Queens Tribune,Queens,N.Y.,149000,Queens,major,Metro - Counties in metro areas of 1 million population or more,1,40.6575,-73.8388,New York
2016,1,Boston Phoenix,Boston,Mass.,145551,Suffolk,major,Metro - Counties in metro areas of 1 million population or more,1,42.3322,-71.0164,Massachusetts
2016,1,Herald Newspapers,Cape May,N.J.,138904,Cape May,minor,"Metro - Counties in metro areas of fewer than 250,000 population",1,38.9408,-74.9041,New Jersey
2016,7,Herald News,Passaic,N.J.,138904,Passaic,major,Metro - Counties in metro areas of 1 million population or more,1,40.8558,-74.1255,New Jersey
2016,1,Sun News,Valley View,Ohio,137284,Cuyahoga,major,Metro - Counties in metro areas of 1 million population or more,1,41.3878,-81.6046,Ohio
2016,7,Arkansas Democrat-Gazette,Little Rock,Ark.,135267,Pulaski,minor,"Metro - Counties in metro areas of 250,000 to 1 million population",1,34.7255,-92.3583,Arkansas
2016,7,Honolulu Star-Advertiser,Honolulu,Hawaii,135000,Honolulu,minor,"Metro - Counties in metro areas of 250,000 to 1 million population",1,21.3113,-157.859,Hawaii
2016,7,Buffalo News,Buffalo,N.Y.,132593,Erie,major,Metro - Counties in metro areas of 1 million population or more,1,42.8923,-78.8594,New York
2016,1,Tennessee Tribune,Nashville,Tenn.,130998,Davidson,major,Metro - Counties in metro areas of 1 million population or more,1,36.1627,-86.7816,Tennessee
2016,1,N'Digo,Chicago,Ill.,130000,Cook,major,Metro - Counties in metro areas of 1 million population or more,1,41.8781,-87.6298,Illinois
2016,1,Community Reporter,Toms River,N.J.,129061,Ocean,major,Metro - Counties in metro areas of 1 million population or more,1,39.993,-74.1855,New Jersey
2016,7,Milwaukee Journal Sentinel,Milwaukee,Wisc.,128321,Milwaukee,major,Metro - Counties in metro areas of 1 million population or more,1,43.0641,-87.9672,Wisconsin
2016,1,La Raza,Chicago,Ill.,127280,Cook,major,Metro - Counties in metro areas of 1 million population or more,1,41.8726,-87.652,Illinois
2016,1,Caribbean Life,Brooklyn,N.Y.,125000,Kings,major,Metro - Counties in metro areas of 1 million population or more,1,40.6782,-73.9442,New York
2016,7,Press-Enterprise,Riverside,Calif.,124051,Riverside,major,Metro - Counties in metro areas of 1 million population or more,1,33.9381,-117.395,California
2016,1,La Estrella en Casa,Fort Worth,Texas,123150,Tarrant,major,Metro - Counties in metro areas of 1 million population or more,1,32.7795,-97.3463,Texas
2016,7,Virginian-Pilot,Norfolk,Va.,121254,Norfolk city,major,Metro - Counties in metro areas of 1 million population or more,1,36.9233,-76.2456,Virginia
2016,1,Chicago Weekend Citizen,Chicago,Ill.,121000,Cook,major,Metro - Counties in metro areas of 1 million population or more,1,41.8781,-87.6298,Illinois
2016,7,Detroit Free Press,Detroit,Mich.,120433,Wayne,major,Metro - Counties in metro areas of 1 million population or more,1,42.384,-83.1017,Michigan
2016,1,Milwaukee Courier,Milwaukee,Wisc.,120000,Milwaukee,major,Metro - Counties in metro areas of 1 million population or more,1,43.0641,-87.9672,Wisconsin
2016,7,Austin American-Statesman,Austin,Texas,118105,Travis,major,Metro - Counties in metro areas of 1 million population or more,1,30.3072,-97.756,Texas
2016,7,New York Post,New York,N.Y.,116097,Kings,major,Metro - Counties in metro areas of 1 million population or more,1,40.6639,-73.9383,New York
2016,1,New York Press,New York,N.Y.,116000,New York,major,Metro - Counties in metro areas of 1 million population or more,1,40.7128,-74.0059,New York
2016,1,Advisor & Source,Clinton Township,Mich.,115389,Allegan,rural,"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area",0,42.585,-86.148,Michigan
2016,7,Fort Worth Star-Telegram,Fort Worth,Texas,115000,Tarrant,major,Metro - Counties in metro areas of 1 million population or more,1,32.7795,-97.3463,Texas
2016,2,Hoy Los Angeles,Los Angeles,Calif.,114735,Los Angeles,major,Metro - Counties in metro areas of 1 million population or more,1,34.1048,-118.411,California
2016,3,Times-Picayune,New Orleans,La.,113625,Orleans Parish,major,Metro - Counties in metro areas of 1 million population or more,1,30.0688,-89.9309,Louisiana
2016,1,San Diego Reader,San Diego,Calif.,112594,San Diego,major,Metro - Counties in metro areas of 1 million population or more,1,32.7157,-117.161,California
2016,1,City Pages,Minneapolis,Minn.,112025,Hennepin,major,Metro - Counties in metro areas of 1 million population or more,1,44.9635,-93.2678,Minnesota
2016,1,Northeast Times,Philadelphia,Pa.,112000,Philadelphia,major,Metro - Counties in metro areas of 1 million population or more,1,40.0076,-75.134,Pennsylvania
2016,1,Metro Reporter,San Francisco,Calif.,111013,San Francisco,major,Metro - Counties in metro areas of 1 million population or more,1,37.7749,-122.419,California
2016,7,Portland Oregonian,Portland,Ore.,110530,Multnomah,major,Metro - Counties in metro areas of 1 million population or more,1,45.5372,-122.65,Oregon
2016,7,Daily Oklahoman,Oklahoma City,Okla.,107931,Oklahoma,major,Metro - Counties in metro areas of 1 million population or more,1,35.4676,-97.5191,Oklahoma
2016,7,Charlotte Observer,Charlotte,N.C.,106796,Mecklenburg,major,Metro - Counties in metro areas of 1 million population or more,1,35.2079,-80.8301,North Carolina
2016,3,Grand Rapids Press,Grand Rapids,Mich.,106650,Kent,minor,"Metro - Counties in metro areas of 250,000 to 1 million population",1,42.9615,-85.6557,Michigan
2016,7,Indianapolis Star,Indianapolis,Ind.,106151,Marion,major,Metro - Counties in metro areas of 1 million population or more,1,39.7771,-86.1463,Indiana
2016,7,Columbus Dispatch The,Columbus,Ohio,105917,Franklin,major,Metro - Counties in metro areas of 1 million population or more,1,39.9586,-82.9965,Ohio
2016,7,Atlanta Journal-Constitution,Atlanta,Ga.,105653,Fulton,major,Metro - Counties in metro areas of 1 million population or more,1,33.7627,-84.4231,Georgia
2016,1,Miami New Times,Miami,Fla.,105043,Miami-Dade,major,Metro - Counties in metro areas of 1 million population or more,1,25.7753,-80.2089,Florida
2016,1,The Fairfax County Times,Fairfax,Va.,105000,Fairfax city,major,Metro - Counties in metro areas of 1 million population or more,1,38.853,-77.2999,Virginia
2016,7,Ocala StarBanner,Ocala,Fla.,104359,Marion,minor,"Metro - Counties in metro areas of 250,000 to 1 million population",1,29.1803,-82.1488,Florida
2016,7,Des Moines Register The,Des Moines,Iowa,104099,Polk,minor,"Metro - Counties in metro areas of 250,000 to 1 million population",1,41.5985,-93.6076,Iowa
2016,6,Lake County News-Sun The,Waukegan,Ill.,104000,Lake,major,Metro - Counties in metro areas of 1 million population or more,1,42.3694,-87.8462,Illinois
2016,1,El Mensajero,San Francisco,Calif.,103800,San Francisco,major,Metro - Counties in metro areas of 1 million population or more,1,37.7597,-122.694,California
2016,7,Omaha World-Herald,Omaha,Neb.,103792,Douglas,minor,"Metro - Counties in metro areas of 250,000 to 1 million population",1,41.2659,-96.0538,Nebraska
2016,6,Detroit News The,Detroit,Mich.,102065,Wayne,major,Metro - Counties in metro areas of 1 million population or more,1,42.384,-83.1017,Michigan
