days_published,newspaper_name,city,state,total_circulation,county,state_full
2,View Neighborhood Newspapers,Las Vegas,Nev.,600557,Clark,Nevada
7,Daily News,New York,N.Y.,599620,Kings,New York
7,Los Angeles Times,Los Angeles,Calif.,571403,Los Angeles,California
7,Washington Post,Washington,D.C.,480166,District of Columbia,District of Columbia
7,Newsday,Melville,N.Y.,460149,Suffolk,New York
7,Chicago Tribune,Chicago,Ill.,390517,Cook,Illinois
1,Midweek Wire,Trevose,Pa.,373116,Bucks,Pennsylvania
7,amNewYork,New York,N.Y.,335900,Kings,New York
7,Cleveland Plain Dealer The,Cleveland,Ohio,311605,Cuyahoga,Ohio
7,Star Tribune,Minneapolis,Minn.,300330,Hennepin,Minnesota
7,Arizona Republic,Phoenix,Ariz.,296934,Maricopa,Arizona
7,Denver Post,Denver,Colo.,285027,Denver,Colorado
2,Metro Community News,Cheektowaga,N.Y.,279152,Erie,New York
7,Las Vegas Review-Journal,Las Vegas,Nev.,266563,Clark,Nevada
1,Village Voice,New York,N.Y.,260000,Kings,New York
7,Philadelphia Inquirer,Philadelphia,Pa.,258560,Philadelphia,Pennsylvania
1,Midweek,Kaneohe,Hawaii,250000,Honolulu,Hawaii
7,Boston Globe The/ Boston Sunday Globe,Boston,Mass.,243986,Suffolk,Massachusetts
7,Houston Chronicle,Houston,Texas,239798,Harris,Texas
7,Dallas Morning News,Dallas,Texas,238960,Dallas,Texas
7,Tampa Bay Times,St Petersburg,Fla.,237624,Pinellas,Florida
7,St Paul Pioneer Press,St Paul,Minn.,235968,Ramsey,Minnesota
7,San Francisco Chronicle,San Francisco,Calif.,229176,San Francisco,California
7,Star-Ledger of Newark,Newark,N.J.,222794,Essex,New Jersey
7,Chicago Sun-Times/Sunday Sun-Times,Chicago,Ill.,209766,Cook,Illinois
1,La Voz de Houston,Houston,Texas,198856,Harris,Texas
7,Sacramento Bee,Sacramento,Calif.,196667,Sacramento,California
2,Suncoast News,Pinellas,Fla.,196303,Pinellas,Florida
7,Tribune-Review,Greensburg,Pa.,185996,Westmoreland,Pennsylvania
2,Reminder,Hartford,Conn.,181319,Hartford,Connecticut
5,Express,Washington,D.C.,174074,District of Columbia,District of Columbia
7,Orlando Sentinel,Orlando,Fla.,173542,Orange,Florida
7,Seattle Times,Seattle,Wash.,172434,King,Washington
7,Miami Herald,Miami,Fla.,166272,Miami-Dade,Florida
7,San Diego Union-Tribune,San Diego,Calif.,165204,San Diego,California
7,Orange County Register,Santa Ana,Calif.,160872,Orange,California
1,AdNet Community News,Canandaigua,N.Y.,160000,Madison,New York
1,LA Weekly,Culver City,Calif.,156816,Los Angeles,California
7,Record/ Sunday Record,Hackensack,N.J.,155236,Bergen,New Jersey
1,Best,Melbourne,Fla.,155000,Brevard,Florida
1,Ballston Journal,Ballston Spa,N.Y.,151000,Saratoga,New York
7,Pittsburgh Post-Gazette,Pittsburgh,Pa.,149586,Allegheny,Pennsylvania
2,Queens Tribune,Queens,N.Y.,149000,Queens,New York
1,Boston Phoenix,Boston,Mass.,145551,Suffolk,Massachusetts
1,Herald Newspapers,Cape May,N.J.,138904,Cape May,New Jersey
7,Herald News,Passaic,N.J.,138904,Passaic,New Jersey
1,Sun News,Valley View,Ohio,137284,Cuyahoga,Ohio
7,Arkansas Democrat-Gazette,Little Rock,Ark.,135267,Pulaski,Arkansas
