newspaper_name,city,state,state_full
View Neighborhood Newspapers,Las Vegas,Nev.,Nevada
Daily News,New York,N.Y.,New York
Los Angeles Times,Los Angeles,Calif.,California
Washington Post,Washington,D.C.,District of Columbia
Newsday,Melville,N.Y.,New York
Chicago Tribune,Chicago,Ill.,Illinois
Midweek Wire,Trevose,Pa.,Pennsylvania
amNewYork,New York,N.Y.,New York
Cleveland Plain Dealer The,Cleveland,Ohio,Ohio
Star Tribune,Minneapolis,Minn.,Minnesota
Arizona Republic,Phoenix,Ariz.,Arizona
Denver Post,Denver,Colo.,Colorado
Metro Community News,Cheektowaga,N.Y.,New York
Las Vegas Review-Journal,Las Vegas,Nev.,Nevada
Village Voice,New York,N.Y.,New York
Philadelphia Inquirer,Philadelphia,Pa.,Pennsylvania
Midweek,Kaneohe,Hawaii,Hawaii
Boston Globe The/ Boston Sunday Globe,Boston,Mass.,Massachusetts
Houston Chronicle,Houston,Texas,Texas
Dallas Morning News,Dallas,Texas,Texas
Tampa Bay Times,St Petersburg,Fla.,Florida
St Paul Pioneer Press,St Paul,Minn.,Minnesota
San Francisco Chronicle,San Francisco,Calif.,California
Star-Ledger of Newark,Newark,N.J.,New Jersey
Chicago Sun-Times/Sunday Sun-Times,Chicago,Ill.,Illinois
La Voz de Houston,Houston,Texas,Texas
Sacramento Bee,Sacramento,Calif.,California
Suncoast News,Pinellas,Fla.,Florida
Tribune-Review,Greensburg,Pa.,Pennsylvania
Reminder,Hartford,Conn.,Connecticut
Express,Washington,D.C.,District of Columbia
Orlando Sentinel,Orlando,Fla.,Florida
Seattle Times,Seattle,Wash.,Washington
Miami Herald,Miami,Fla.,Florida
San Diego Union-Tribune,San Diego,Calif.,California
Orange County Register,Santa Ana,Calif.,California
AdNet Community News,Canandaigua,N.Y.,New York
LA Weekly,Culver City,Calif.,California
Record/ Sunday Record,Hackensack,N.J.,New Jersey
Best,Melbourne,Fla.,Florida
Ballston Journal,Ballston Spa,N.Y.,New York
Pittsburgh Post-Gazette,Pittsburgh,Pa.,Pennsylvania
Queens Tribune,Queens,N.Y.,New York
Boston Phoenix,Boston,Mass.,Massachusetts
Herald Newspapers,Cape May,N.J.,New Jersey
Herald News,Passaic,N.J.,New Jersey
Sun News,Valley View,Ohio,Ohio
Arkansas Democrat-Gazette,Little Rock,Ark.,Arkansas
Honolulu Star-Advertiser,Honolulu,Hawaii,Hawaii
Buffalo News,Buffalo,N.Y.,New York
Tennessee Tribune,Nashville,Tenn.,Tennessee
N'Digo,Chicago,Ill.,Illinois
Community Reporter,Toms River,N.J.,New Jersey
Milwaukee Journal Sentinel,Milwaukee,Wisc.,Wisconsin
La Raza,Chicago,Ill.,Illinois
Caribbean Life,Brooklyn,N.Y.,New York
Press-Enterprise,Riverside,Calif.,California
La Estrella en Casa,Fort Worth,Texas,Texas
Virginian-Pilot,Norfolk,Va.,Virginia
Chicago Weekend Citizen,Chicago,Ill.,Illinois
Detroit Free Press,Detroit,Mich.,Michigan
Milwaukee Courier,Milwaukee,Wisc.,Wisconsin
Austin American-Statesman,Austin,Texas,Texas
New York Post,New York,N.Y.,New York
New York Press,New York,N.Y.,New York
Advisor & Source,Clinton Township,Mich.,Michigan
Fort Worth Star-Telegram,Fort Worth,Texas,Texas
Hoy Los Angeles,Los Angeles,Calif.,California
Times-Picayune,New Orleans,La.,Louisiana
San Diego Reader,San Diego,Calif.,California
City Pages,Minneapolis,Minn.,Minnesota
Northeast Times,Philadelphia,Pa.,Pennsylvania
Metro Reporter,San Francisco,Calif.,California
Portland Oregonian,Portland,Ore.,Oregon
Daily Oklahoman,Oklahoma City,Okla.,Oklahoma
Charlotte Observer,Charlotte,N.C.,North Carolina
Grand Rapids Press,Grand Rapids,Mich.,Michigan
Indianapolis Star,Indianapolis,Ind.,Indiana
Columbus Dispatch The,Columbus,Ohio,Ohio
Atlanta Journal-Constitution,Atlanta,Ga.,Georgia
Miami New Times,Miami,Fla.,Florida
The Fairfax County Times,Fairfax,Va.,Virginia
Ocala StarBanner,Ocala,Fla.,Florida
Des Moines Register The,Des Moines,Iowa,Iowa
Lake County News-Sun The,Waukegan,Ill.,Illinois
El Mensajero,San Francisco,Calif.,California
Omaha World-Herald,Omaha,Neb.,Nebraska
Detroit News The,Detroit,Mich.,Michigan
San Francisco Examiner,San Francisco,Calif.,California
Santa Monica Observer,Santa Monica,Calif.,California
Long Island Press,Syosset,N.Y.,New York
Hoy Chicago,Chicago,Ill.,Illinois
